latitude,longitude,thickness,error,error_r,dataset,cluster
-38.94509,-68.062678,0.15000000000000002,0.08082903768654762,1.4263947827037813,assimila,6
-39.34877,-70.658409,0.25,0.24578456605338933,1.1281914507368689,assimila,0
-39.399936,-70.815439,0.30000000000000004,0.7425709395603393,0.6739299283404759,assimila,5
-39.339167,-70.918533,0.30000000000000004,0.7425709395603393,0.6739299283404759,assimila,5
-39.726483,-71.154867,2.25,0.7425709395603393,0.6739299283404759,assimila,5
-39.972582,-70.889204,2.5,0.7425709395603393,0.6739299283404759,assimila,5
-39.795086,-71.213658,2.0,0.7425709395603393,0.6739299283404759,assimila,5
-39.950234,-71.062392,3.0,0.7425709395603393,0.6739299283404759,assimila,5
-40.166989,-71.35761,2.5,0.7425709395603393,0.6739299283404759,assimila,5
-40.196592,-71.320863,2.5,0.7425709395603393,0.6739299283404759,assimila,5
-40.318581,-71.382274,2.5,0.7425709395603393,0.6739299283404759,assimila,5
-40.441417,-71.538567,2.5,0.7425709395603393,0.6739299283404759,assimila,5
-40.7254,-71.805533,2.0,0.7425709395603393,0.6739299283404759,assimila,5
-40.68784,-71.701631,2.0,0.7425709395603393,0.6739299283404759,assimila,5
-40.754954,-71.593252,2.0,0.7425709395603393,0.6739299283404759,assimila,5
-39.963014,-70.006001,1.0,0.24578456605338933,1.1281914507368689,assimila,0
-39.285325,-68.866168,1.0,0.24578456605338933,1.1281914507368689,assimila,0
-40.574095,-70.792558,0.01,0.18429014391132573,0.9699481258490827,assimila,1
-41.131683,-71.186844,0.01,0.18429014391132573,0.9699481258490827,assimila,1
-40.762103,-71.090327,1.0,0.7425709395603393,0.6739299283404759,assimila,5
-40.079822,-71.141485,2.0,0.7425709395603393,0.6739299283404759,assimila,5
-39.667,-70.96,0.45,0.7425709395603393,0.6739299283404759,assimila,5
-38.903162,-70.064901,0.15000000000000002,0.24578456605338933,1.1281914507368689,assimila,0
-41.23819,-70.10676,1.0,0.18429014391132573,0.9699481258490827,assimila,1
-41.11337,-70.21082,0.2,0.18429014391132573,0.9699481258490827,assimila,1
-40.50263,-69.6968,0.2,0.24578456605338933,1.1281914507368689,assimila,0
-40.65077,-71.41264,0.15000000000000002,0.18429014391132573,0.9699481258490827,assimila,1
-40.69097,-71.29157,0.07500000000000001,0.18429014391132573,0.9699481258490827,assimila,1
-40.71855,-71.13962,0.05,0.18429014391132573,0.9699481258490827,assimila,1
-41.04047,-71.23115,0.07500000000000001,0.18429014391132573,0.9699481258490827,assimila,1
-40.95241,-71.35374,0.1,0.18429014391132573,0.9699481258490827,assimila,1
-40.83944,-71.53837,0.175,0.18429014391132573,0.9699481258490827,assimila,1
-40.78127,-71.66182,0.3,0.18429014391132573,0.9699481258490827,assimila,1
-40.64742,-71.70269,0.2,0.18429014391132573,0.9699481258490827,assimila,1
-40.60521,-71.69151,0.2,0.18429014391132573,0.9699481258490827,assimila,1
-40.52037,-71.64826,0.25,0.18429014391132573,0.9699481258490827,assimila,1
-40.40227,-71.48824,0.3,0.18429014391132573,0.9699481258490827,assimila,1
-40.20026,-71.32473,0.45,0.7425709395603393,0.6739299283404759,assimila,5
-40.16347,-71.34692,0.75,0.7425709395603393,0.6739299283404759,assimila,5
-40.09972,-71.15555,0.75,0.7425709395603393,0.6739299283404759,assimila,5
-39.89975,-71.0656,0.55,0.7425709395603393,0.6739299283404759,assimila,5
-39.58953,-71.42994,0.65,0.7425709395603393,0.6739299283404759,assimila,5
-39.61825,-71.33825,0.45,0.7425709395603393,0.6739299283404759,assimila,5
-39.66339,-71.24297,0.5,0.7425709395603393,0.6739299283404759,assimila,5
-39.72122,-71.16008,1.5,0.7425709395603393,0.6739299283404759,assimila,5
-39.76331,-71.0811,0.5,0.7425709395603393,0.6739299283404759,assimila,5
-39.7481,-71.01517,0.5,0.7425709395603393,0.6739299283404759,assimila,5
-39.69307,-70.99938,0.5,0.7425709395603393,0.6739299283404759,assimila,5
-39.66195,-70.96742,0.75,0.7425709395603393,0.6739299283404759,assimila,5
-39.59691,-70.93394,1.0,0.7425709395603393,0.6739299283404759,assimila,5
-39.53528,-70.95473,0.35,0.7425709395603393,0.6739299283404759,assimila,5
-39.48536,-70.94678,0.15000000000000002,0.05722119105613193,0.5931464926550261,assimila,7
-39.4147,-70.93404,0.15000000000000002,0.05722119105613193,0.5931464926550261,assimila,7
-39.34758,-70.91954,0.15000000000000002,0.05722119105613193,0.5931464926550261,assimila,7
-39.26333,-70.91908,0.1,0.05722119105613193,0.5931464926550261,assimila,7
-39.23732,-70.91403,0.1,0.05722119105613193,0.5931464926550261,assimila,7
-39.37687,-71.07809,0.15000000000000002,0.05722119105613193,0.5931464926550261,assimila,7
-39.39731,-70.80885,0.15000000000000002,0.05722119105613193,0.5931464926550261,assimila,7
-39.43529,-70.64666,0.2,0.24578456605338933,1.1281914507368689,assimila,0
-39.56997,-70.59151,0.8500000000000001,0.7425709395603393,0.6739299283404759,assimila,5
-39.71567,-70.57543,0.8,0.7425709395603393,0.6739299283404759,assimila,5
-39.82809,-70.63155,0.9,0.7425709395603393,0.6739299283404759,assimila,5
-39.92765,-70.73483,1.05,0.7425709395603393,0.6739299283404759,assimila,5
-39.99952,-70.82349,0.9,0.7425709395603393,0.6739299283404759,assimila,5
-39.93868,-70.94385,1.5,0.7425709395603393,0.6739299283404759,assimila,5
-39.94617,-71.08036,1.5,0.7425709395603393,0.6739299283404759,assimila,5
-39.79057,-71.21731,0.95,0.7425709395603393,0.6739299283404759,assimila,5
-39.88676,-71.15674,1.0499999999999998,0.7425709395603393,0.6739299283404759,assimila,5
-39.71822,-70.41903,0.6,0.7425709395603393,0.6739299283404759,assimila,5
-39.60029,-70.36658,0.5,0.24578456605338933,1.1281914507368689,assimila,0
-39.52538,-70.31474,0.35,0.24578456605338933,1.1281914507368689,assimila,0
-39.4711,-70.22226,0.3,0.24578456605338933,1.1281914507368689,assimila,0
-39.47271,-70.1255,0.15000000000000002,0.24578456605338933,1.1281914507368689,assimila,0
-39.51447,-70.03086,0.1,0.24578456605338933,1.1281914507368689,assimila,0
-39.59336,-69.98307,0.1,0.24578456605338933,1.1281914507368689,assimila,0
-39.6679,-69.99577,0.1,0.24578456605338933,1.1281914507368689,assimila,0
-39.40459,-70.16193,0.1,0.24578456605338933,1.1281914507368689,assimila,0
-39.33119,-70.12599,0.1,0.24578456605338933,1.1281914507368689,assimila,0
-39.27326,-70.06033,0.05,0.24578456605338933,1.1281914507368689,assimila,0
-39.34167,-69.815,0.05,0.24578456605338933,1.1281914507368689,assimila,0
-39.38303,-69.65683,0.05,0.24578456605338933,1.1281914507368689,assimila,0
-39.49206,-69.51398,0.05,0.24578456605338933,1.1281914507368689,assimila,0
-39.54575,-69.3108,0.05,0.24578456605338933,1.1281914507368689,assimila,0
-39.67488,-69.45109,0.05,0.24578456605338933,1.1281914507368689,assimila,0
-39.7699,-69.65206,0.05,0.24578456605338933,1.1281914507368689,assimila,0
-39.86942,-69.83678,0.1,0.24578456605338933,1.1281914507368689,assimila,0
-39.98137,-70.04302,0.15000000000000002,0.24578456605338933,1.1281914507368689,assimila,0
-40.0591,-70.09254,0.2,0.24578456605338933,1.1281914507368689,assimila,0
-40.15385,-70.2635,0.3,0.24578456605338933,1.1281914507368689,assimila,0
-40.29553,-70.394,0.2,0.24578456605338933,1.1281914507368689,assimila,0
-40.41605,-70.55576,0.1,0.18429014391132573,0.9699481258490827,assimila,1
-40.37563,-70.65471,0.1,0.18429014391132573,0.9699481258490827,assimila,1
-40.20834,-70.65648,0.3,0.7425709395603393,0.6739299283404759,assimila,5
-40.08028,-70.76861,0.95,0.7425709395603393,0.6739299283404759,assimila,5
-40.08469,-71.2998,0.45,0.7425709395603393,0.6739299283404759,assimila,5
-39.9697,-71.25308,0.6,0.7425709395603393,0.6739299283404759,assimila,5
-39.9569,-71.19566,0.11499999999999999,0.18429014391132573,0.9699481258490827,assimila,1
-39.98467,-71.09045,1.2,0.7425709395603393,0.6739299283404759,assimila,5
-40.10565,-70.987,0.55,0.7425709395603393,0.6739299283404759,assimila,5
-40.08805,-70.88406,0.5,0.7425709395603393,0.6739299283404759,assimila,5
-40.11258,-70.82991,0.45,0.7425709395603393,0.6739299283404759,assimila,5
-40.12654,-71.38006,0.15000000000000002,0.18429014391132573,0.9699481258490827,assimila,1
