label,latitude,longitude,thickness_min,thickness_max
DB290415-1,-41.1844016,-72.4653747,9.6,9.6
Chile_n.a.6,-41.2079186,-72.4966681,14.6,14.6
Chile_n.a.7,-41.2163772,-72.5129253,16.8,16.8
DB290415-2,-41.2455981,-72.4795374,18.5,18.5
Chile_n.a.8,-41.3066072,-72.4544936,5.2,5.2
DB290415-3,-41.3022912,-72.2701944,0.2,0.2
Chile_n.a.9,-41.3839584,-72.3036707,0.08,0.08
DB290415-5,-41.2960893,-72.5571905,55,55
DB290415-6,-41.254226,-72.5369107,35,35
Chile_n.a.10,-41.2831413,-72.7503905,0,0
Chile_n.a.11,-41.2938749,-72.7328246,0,0
Chile_n.a.12,-41.2325263,-72.5925488,14.5,14.5
DB300415-2,-41.1711593,-72.5654155,4,4
DB300415-3,-41.0625859,-72.4860065,2,2
Chile_n.a.13,-41.0435978,-72.5116531,1,1
627,-41.2220516,-72.6646871,1,1
628,-41.2270919,-72.6380348,2,2
629,-41.2326527,-72.6081142,10,10
630,-41.2249044,-72.562074,28,28
631,-41.2088736,-72.5363354,17,17
632,-41.259249,-72.478153,25,25
633,-41.214961,-72.5169986,18,18
LB230415-1,-41.0818243,-72.639187,0,0
LB230415-2,-41.1321063,-72.596321,0.3,0.3
LB230415-3,-41.1440749,-72.5794769,0.4,0.4
LB230415-4,-41.149458,-72.5733447,0.5,0.5
LB230415-5,-40.6994863,-72.3730937,0.1,0.1
LB230415-6,-39.2762322,-71.972958,0.05,0.05
Chile_n.a.14,-40.7182527,-72.4897918,0,0
Cal1,-41.2371916,-72.540999,26,26
Cal2,-41.2363999,-72.545682,26,26
Cal3,-41.1926883,-72.5392797,12,12
Cal4,-41.1637368,-72.5139644,10,10
Cal5,-41.1489365,-72.5167878,6,6
Cal6,-41.1340182,-72.5384607,4,4
Cal7,-41.1278562,-72.5308293,5,5
